a	阿啊呵腌嗄锕吖
ai	爱奇埃乃艾呆碍哀癌挨矮唉
an	安干广案按暗厂岸盒俺黯庵
ang	仰昂肮盎腌
ao	奥澳傲棍噢熬凹嚣懊鳌袄敖
ba	把八吧巴伯爸罢拔霸叭坝跋
bai	白百派排伯败摆拜柏啡扒呗
ban	办半般版班板伴搬辨扮斑卑
bang	帮旁邦彭膀棒绑镑榜傍磅谤
bao	报保包宝炮暴抱爆呆胞薄堡
bei	被北备波背贝悲倍杯辈拔臂
ben	本体奔笨苯夯贲畚锛坌
beng	平旁崩榜傍蹦绷迸甭抨泵俸
bi	被比必服波佛秘虑笔避毕币
bian	变便边编封遍辩扁辨鞭贬拚
biao	表标漂彪镖嫖苞飙婊剽镳裱
bie	别秘拔蔽撇扒憋瘪鳖蹩捌
bin	份宾斌滨彬濒鬓缤殡槟浜摈
bing	并平兵病冰拼屏柄饼丙秉禀
bo	白服百般怕波佛伯跑博暴拍
bu	不部步布附补捕薄堡怖卜哺
ca	擦拆蔡嚓礤
cai	才采财材彩裁菜猜蔡踩睬
can	参残餐惨灿蚕惭掺璨粲孱骖
cang	藏苍舱仓沧臧伧
cao	造草操曹澡槽糙嘈漕螬艚艹
ce	策测侧册厕栅赦恻
cen	参岑涔
ceng	增曾层僧蹭噌
cha	接查土察差茶插斜捷叉刹诧
chai	查差柴拆搓钗豺侪虿瘥茈
chan	产单颤缠禅阐厘兔沾蝉铲忏
chang	长常场尚厂唱偿昌尝肠倘畅
chao	朝超潮吵抄巢嘲炒剿钞绰晁
che	车彻撤尺池斥宅拆扯澈掣砗
chen	称陈沉臣晨沈尘堪填趁辰帘
cheng	成程城称承醒盛诚乘净呈惩
chi	她提治持离吃喜移迟抬尺拖
chong	种重充冲虫崇涌宠烛忡茧憧
chou	抽仇筹扭丑酬臭愁圳绸畴瞅
chu	出处除助初著楚础触储祝涂
chua	撮
chuai	揣啜踹啐嘬搋膪
chuan	传船穿川串喘惴椽踹舛氚钏
chuang	创床窗闯幢葱疮囱怆舂
chui	吹垂椎锤炊捶槌陲棰
chun	春纯唇蠢醇淳沌椿鹑朐肫莼
chuo	促簇绰戳踱躇荃淖啜辍龊斫
ci	此次司差词刺措辞慈磁兹滋
cong	从窗匆聪丛葱囱淙枞苁琮偬
cou	族趣奏凑簇揍辏腠楱蔟
cu	且趣促粗戚卒簇醋猝蹙酢槭
cuan	窜蹲篡攒蹿撺爨汆镩
cui	体察衰粹脆催摧翠洒崔卒悴
cun	存村寸蹲忖浚皴
cuo	最错差措摧昔挫搓磋撮厝锉
da	大打达答塔胆搭塌迭嗒瘩哒
dai	大代带待毒戴袋呆贷隶逮黛
dan	但单石弹担丹淡旦胆蛋诞憾
dang	当党荡档挡裆宕铛谠凼砀菪
dao	到道受导倒岛刀陶盗敦祷稻
de	的地得德底登陟锝
dei	得
deng	等登灯邓瞪凳澄蹬橙簦噔镫
di	的地第提敌底低帝弟逐抵蒂
dia	嗲
dian	点电店典殿颠沾甸垫奠癫淀
diao	调掉跳刀鸟挑敦雕吊钓稠刁
die	至涉跌爹叠蝶谍踢碟迭哆窒
ding	定顶灯丁订盯钉鼎叮奠汀町
diu	丢铥
dong	动东洞懂冬董筒冻栋桐咚酮
dou	都投斗读抖豆陡兜逗逾窦蚪
du	都度土独读顿督毒杜渡肚宅
duan	断段短端锻缎踹椴煅簖
dui	对队追堆敦兑槌怼碓憝镦
dun	顿盾吨敦俊蹲钝遁豚沌墩炖
duo	多度杂夺朵躲陀兑堕隋踱揣
e	阿啊恶额俄饿哦鹅厄遏愕娥
ei	诶
en	恩摁蒽
er	而二儿尔耳饵贰珥迩濡洱铒
fa	发法罚泛乏拔伐阀筏砝珐垡
fan	反范犯饭凡翻烦繁泛返番潘
fang	方放房防访仿芳妨纺坊肪彷
fei	非飞费废菲肥肺匪啡妃拂沸
fen	分份纷奋奔粉愤芬扮氛盼匪
feng	方风封丰泛奉峰凤疯锋冯缝
fo	佛
fou	不否缶
fu	不还市服夫府复包仅父福负
ga	夹咖胳伽尬嘎轧噶呷戛旮尕
gai	该改概核盖汽咳丐骸钙溉芥
gan	个感干敢赶甘汗肝奸乾杆尴
gang	刚抗港钢岗纲冈缸扛杠肮亢
gao	高告搞稿浩糕膏咎睾羔诰皋
ge	个可合各格革假哥介歌盖隔
gei	给
gen	根跟痕亘艮哏茛
geng	更硬耕颈耿梗庚亢邢哽赓亘
gong	公工共功红供攻宫贡恭虹弓
gou	构够句购狗沟勾拘钩苟垢篝
gu	家告古故苦股角顾固姑骨谷
gua	括挂瓜舌寡刮卦褂呱惴剐诖
guai	怪拐乖掴
guan	关果管观官馆惯贯冠串灌罐
guang	光广横恍逛胱咣潢犷桄
gui	规概贵归鬼娃轨桂柜跪龟哇
gun	卷混滚棍衮鲧绲辊磙丨
guo	国过果活划郭锅裹涡唬猓帼
ha	哈吓呵虾蛤獬铪
hai	还海孩害咳骇骸亥嗨氦醢咴
han	感汉含厂喊韩寒甘汗翰函罕
hang	行航狠狼杭巷炕吭肮夯珩桁
hao	好号毫豪耗浩皓壕郝唬妞嚎
he	和合何格河害哈核呼喝赫荷
hei	黑嘿嗨
hen	很恨狠痕掀艮哏
heng	行横衡恒哼亨珩桁訇蘅
hng	哼
hong	共红港轰洪宏汪鸿虹哄弘烘
hou	后候厚侯喉後吼猴逅鲎糇骺
hu	和许乎护苦户胡互核呼忽湖
hua	话化花华找划敌画滑哇哗豁
huai	划怀坏圳淮徊槐坯踝喟
huan	还环欢换缓援患幻唤灌桓焕
huang	黄皇荒横慌晃茫谎芒煌惶凰
hui	会回挥毁汇虫灰恢慧惠辉绘
hun	婚混魂昏昆浑棍捆荤诨馄阍
huo	和或化活火越获货伙霍惑呵
ji	其机己给及几系计期基即记
jia	家加价假架甲夏驾佳夹押嘉
jian	前间见建件简检坚监舰减剑
jiang	将强讲江降蒋奖疆匠虹僵姜
jiao	教交觉叫较校激角脚焦咬缴
jie	家她解结接界价节假担差阶
jin	进金今近尽仅紧禁津劲晋斤
jing	经精青京境惊警竟静景睛醒
jiong	炯窘迥坷炅垧扃冂
jiu	就究九久酒救旧纠愁舅揪疚
ju	且告据车具局足举居句姐剧
juan	身卷圈捐倦绢娟眩眷鹃蕊蜷
jue	决觉绝角脚狂屈乙爵穴掘嚼
jun	军均君卷菌俊郡旬龟钧峻匀
ka	卡咖喀咯咔胩佧
kai	开核喝凯岂渴慨恺楷劾揩铠
kan	看喊刊堪砍坎勘嵌侃槛瞰龛
kang	抗康奋荒坑杭慷炕扛亢糠闶
kao	考靠搞烤拷铐槁犒尻栲
ke	可克科客刻课颗呵柯壳渴棵
kei	刻
ken	肯狠恳垦啃龈垠裉
keng	坑吭铿忐硎
kong	空控恐孔腔穹崆倥箜
kou	口扣寇叩挎抠佝彀蔻芤刳眍
ku	古苦圣库哭跨酷裤枯掘窟骷
kua	跨夸垮挎胯髁侉
kuai	会快块魁筷傀蒯脍侩狯哙浍
kuan	完款宽棵髋
kuang	况兄狂矿呈框逛旷枉眶匡筐
kui	缺亏溃愧踩魁奎窥馈盔葵匮
kun	困混昆卵捆坤琨锟髡阃鲲醌
kuo	适括扩阔廓蛞栝
la	拉落蓝啦腊辣蜡垃喇剌摺邋
lai	来莱赖睐籁濑癞涞徕崃黧赉
lan	兰蓝烂览拦栏懒滥篮岚澜揽
lang	浪朗郎狼廊踉琅螂羹榔啷阆
lao	老落劳络牢僚捞姥佬唠烙撩
le	了乐勒肋嘞叻泐仂鳓
lei	类雷勒泪累垒肋蕾磊擂儡镭
len	啉
leng	冷愣棱楞塄
li	里理力利位立离李历列例丽
lia	俩
lian	联令连脸练零恋怜炼廉莲链
liang	两量惊良亮粮辆梁俩凉谅踉
liao	了料疗聊辽僚廖寥佬撩缭潦
lie	列例烈裂累猎劣膊栗咧洌冽
lin	任林临邻淋琳麟鳞磷凛赁霖
ling	领令另冷灵零龄怜凌玲陵铃
liu	流六留陆游刘柳溜聊瘤碌榴
lo	咯
long	龙弄隆笼垄拢胧聋咙陇珑窿
lou	露楼牢漏陋搂喽髅篓娄镂偻
lu	路六陆角露鲁录绿谷卢炉鹿
luan	乱卵挛峦鸾銮孪栾滦脔娈
lun	论伦轮仑沦纶抡囵
luo	果路格罗落洛络逻裸螺碌咯
lv	律率虑旅绿累吕履鹿屡驴侣
lve	率略掠锊
m	唔呒
ma	么马吗妈麻摩玛码骂嘛抹麽
mai	派买卖麦脉埋迈哩咪霾劢唛
man	满慢曼幕漫埋蛮瞒蔓幔馒谩
mang	忙茫盲芒莽朦氓蟒邙硭瞢漭
mao	毛贸冒描矛貌猫耗帽茂茅牟
me	么没末麽
mei	没美每某味梅妹眉墨媒煤枚
men	们门闷汶扪懑焖鞔钔
meng	明梦蒙猛盟孟朦萌氓蟒懵檬
mi	米密秘迷摩弥蜜辟谜泌觅眯
mian	面免棉眠勉绵缅冥冕娩腼瞑
miao	描妙猫庙苗秒吵瞄渺缪藐缈
mie	灭蔑咪咩篾乜蠛
min	民敏眠悯闽闵汶抿皿泯岷黾
ming	明名命盟鸣铭冥萌皿茗瞑溟
miu	谬缪
mo	么没无万百模伯莫默摩末魔
mou	件某谋牟毋缪眸袤鍪婺蛑哞
mu	目母模木莫姆幕牧穆墓慕亩
n	嗯唔哽哏
na	那内南拿哪纳娜呐絮钠捺衲
nai	能那哪乃奶耐奈氖艿鼐萘佴
nan	难南男喃冉楠囡赧罱蝻囝腩
nang	囊囔馕曩攮
nao	脑闹恼挠瑙淖呶孬蛲垴硇铙
ne	那呢哪呐讷疔疒
nei	那内哪馁
nen	嫩恁枘
neng	能而耐
ng	嗯唔哽
ni	你呢尼泥拟逆妮匿腻倪溺霓
nian	年念趁粘廿捻辗拈黏碾撵鲇
niang	娘酿
niao	鸟尿溺袅茑脲尥嬲
nie	哪幸泥涅捏聂孽倪捻蹑嗫啮
nin	您恁
ning	年疑宁冰泥凝拧攘狞泞柠咛
niu	牛纽扭钮妞拗忸蚴狃
nong	农弄浓侬脓哝咔
nou	耨
nu	仅努怒奴褥弩呶帑肭驽孥胬
nuan	暖暧濡
nuo	那需哪掉诺娜挪呐懦傩喏糯
nv	女絮钕衄胬恧狃
nve	虐疟
o	哦噢喔
ou	区欧遇握偶呕殴鸥藕渥讴耦
pa	把吧派怕爬帕叭啪趴扒芭琶
pai	派排迫拍牌脾啡徘湃俳哌蒎
